Date,Open,High,Low,Close
2022-07-20,175.94,182.0,175.16,181.5
2022-07-21,179.06,182.25,177.31,181.58
2022-07-22,171.56,174.07,166.94,167.8
2022-07-25,167.53,169.09,163.38,165.2
2022-07-26,164.5,164.55,156.58,157.76
2022-07-27,161.17,169.38,160.61,168.1
2022-07-28,159.66,160.1,153.5,159.32
2022-07-29,156.32,158.75,153.82,157.72
2022-08-01,155.88,163.75,153.88,158.54
2022-08-02,156.93,160.83,156.63,158.8
2022-08-03,161.27,168.06,160.16,167.33
2022-08-04,166.83,170.65,165.35,169.09
2022-08-05,165.54,170.12,164.36,165.66
2022-08-08,166.54,175.96,165.68,168.77
2022-08-09,167.48,168.05,165.15,167.06
2022-08-10,174.46,178.91,172.44,176.79
2022-08-11,178.15,181.51,174.83,175.94
2022-08-12,179.24,179.88,177.35,178.93
2022-08-15,177.4,179.86,176.65,179.32
2022-08-16,177.88,179.41,175.5,177.91
2022-08-17,175.22,176.59,172.65,173.33
2022-08-18,172.82,174.23,170.36,173.14
2022-08-19,168.72,170.82,165.6,166.5
2022-08-22,164.05,164.05,160.85,161.63
2022-08-23,161.07,163.61,159.3,159.71
2022-08-24,159.2,164.02,158.38,161.84
2022-08-25,163.74,167.41,162.59,167.31
2022-08-26,167.01,169.43,160.26,160.37
2022-08-29,159.26,161.63,157.63,157.78
2022-08-30,158.95,160.25,154.55,155.79
2022-08-31,165.62,166.38,160.73,161.51
2022-09-01,162.16,165.9,158.95,163.92
2022-09-02,165.99,166.47,157.83,158.92
2022-09-06,158.71,160.28,156.32,157.16
2022-09-07,156.39,159.56,155.44,158.99
2022-09-08,157.33,160.82,156.37,160.65
2022-09-09,161.83,168.06,161.6,167.68
2022-09-12,165.93,169.9,165.82,167.49
2022-09-13,160.13,160.22,151.34,151.8
2022-09-14,152.0,152.2,147.75,150.15
2022-09-15,148.5,152.86,147.41,148.25
2022-09-16,146.76,147.29,143.03,145.02
2022-09-19,143.98,147.29,143.84,146.73
2022-09-20,144.51,147.54,143.96,144.82
2022-09-21,145.12,148.3,140.76,140.88
2022-09-22,140.32,143.32,139.64,141.58
2022-09-23,140.19,141.38,137.68,139.19
2022-09-26,138.9,141.0,135.0,135.18
2022-09-27,136.72,138.21,132.95,133.23
2022-09-28,133.45,140.79,133.1,140.38
2022-09-29,138.15,138.62,134.02,135.22
2022-09-30,134.87,139.76,134.32,134.5
2022-10-03,135.95,138.4,134.92,137.4
2022-10-04,139.27,141.15,138.13,139.06
2022-10-05,137.04,138.99,133.61,137.77
2022-10-06,136.52,140.22,135.41,137.86
2022-10-07,135.57,137.09,131.29,132.29
2022-10-10,132.39,134.93,130.72,132.63
2022-10-11,130.47,131.51,125.88,127.42
2022-10-12,127.2,128.54,125.15,126.39
2022-10-13,122.45,130.0,121.46,129.16
2022-10-14,129.86,130.64,125.42,125.66
2022-10-17,129.17,133.62,129.05,132.87
2022-10-18,135.9,136.64,130.26,131.64
2022-10-19,131.73,135.81,131.07,132.07
2022-10-20,131.77,135.58,130.17,130.39
2022-10-21,125.21,128.99,124.35,128.88
2022-10-24,126.14,132.32,123.49,128.59
2022-10-25,129.74,137.15,129.45,136.31
2022-10-26,130.53,134.37,127.41,128.69
2022-10-27,97.13,101.61,95.54,97.09
2022-10-28,98.71,99.97,96.66,98.34
2022-10-31,97.36,98.46,91.79,92.35
2022-11-01,93.51,96.64,92.74,94.37
2022-11-02,93.39,94.37,89.69,89.75
2022-11-03,89.3,89.67,87.64,88.14
2022-11-04,89.56,90.59,87.32,90.0
2022-11-07,93.95,96.04,92.29,95.88
2022-11-08,95.09,96.95,93.96,95.63
2022-11-09,100.83,103.99,99.86,100.59
2022-11-10,106.19,111.77,103.7,110.9
2022-11-11,108.28,113.9,107.86,112.04
2022-11-14,110.02,115.26,109.84,113.23
2022-11-15,115.06,117.71,113.41,116.06
2022-11-16,113.5,115.07,111.68,112.24
2022-11-17,109.45,111.35,108.84,110.48
2022-11-18,112.81,113.32,109.66,111.07
2022-11-21,110.55,111.39,108.24,108.9
2022-11-22,108.9,110.65,107.38,110.47
2022-11-23,110.75,111.69,109.77,111.26
2022-11-25,110.33,111.75,110.05,110.44
2022-11-28,109.82,111.06,107.44,107.83
2022-11-29,108.59,109.97,107.6,108.51
2022-11-30,108.56,117.13,108.43,117.07
2022-12-01,118.16,120.14,117.37,119.39
2022-12-02,116.8,122.96,116.59,122.41
2022-12-05,120.69,123.58,120.29,121.36
2022-12-06,118.87,119.5,112.75,113.13
2022-12-07,112.77,114.87,111.9,112.94
2022-12-08,115.38,116.32,113.59,114.33
2022-12-09,114.3,116.52,112.88,114.89
2022-12-12,114.18,114.71,112.16,113.71
2022-12-13,121.07,122.23,117.61,119.1
2022-12-14,118.35,123.06,118.35,120.53
2022-12-15,117.3,117.6,113.02,115.14
2022-12-16,119.18,122.24,117.79,118.39
2022-12-19,115.81,116.77,113.33,113.48
2022-12-20,112.27,116.31,111.48,116.07
2022-12-21,115.68,119.29,114.61,118.72
2022-12-22,116.18,117.59,113.38,116.1
2022-12-23,115.02,117.15,114.53,117.01
2022-12-27,116.9,117.57,115.04,115.86
2022-12-28,115.24,117.12,114.5,114.61
2022-12-29,115.39,119.98,114.76,119.21
2022-12-30,117.13,119.37,116.72,119.29
2023-01-03,121.75,125.27,121.22,123.65
2023-01-04,126.27,127.93,124.75,126.26
2023-01-05,125.03,127.4,123.46,125.83
2023-01-06,127.85,129.2,124.94,128.89
2023-01-09,130.02,131.79,128.15,128.34
2023-01-10,126.16,132.28,126.04,131.83
2023-01-11,129.82,132.68,129.21,131.73
2023-01-12,132.28,136.48,130.61,135.52
2023-01-13,133.8,136.19,133.67,135.79
2023-01-17,134.99,135.56,133.08,134.18
2023-01-18,134.63,136.06,131.64,131.86
2023-01-19,131.34,136.25,130.99,134.96
2023-01-20,134.71,138.72,133.44,138.16
2023-01-23,138.08,142.51,137.45,142.02
2023-01-24,140.46,143.74,140.13,141.89
2023-01-25,139.99,141.92,139.09,140.27
