Date,Open,High,Low,Close
2021-11-11,145.2,146.24,144.32,144.49
2021-11-12,145.33,147.54,144.13,147.37
2021-11-15,147.59,148.24,146.28,147.15
2021-11-16,146.85,147.45,146.02,146.58
2021-11-17,146.73,147.25,145.95,146.75
2021-11-18,146.94,149.26,146.58,148.52
2021-11-19,148.66,149.64,147.59,147.62
2021-11-22,148.02,148.51,144.86,145.02
2021-11-23,144.87,145.37,142.85,144.5
2021-11-24,144.19,144.96,143.1,144.84
2021-11-26,143.08,143.29,140.6,140.93
2021-11-29,142.73,145.01,142.63,144.25
2021-11-30,143.73,144.72,140.36,140.65
2021-12-01,142.73,144.67,139.67,139.81
2021-12-02,140.01,142.6,138.98,141.71
2021-12-03,142.42,143.13,139.07,140.75
2021-12-06,141.78,142.59,138.92,141.9
2021-12-07,144.32,146.23,143.95,145.98
2021-12-08,146.3,147.09,145.12,146.88
2021-12-09,146.29,147.79,145.82,146.34
2021-12-10,147.39,147.67,145.41,146.7
2021-12-13,146.48,146.67,144.24,144.54
2021-12-14,142.7,143.21,139.97,142.64
2021-12-15,142.15,145.43,140.43,145.15
2021-12-16,145.88,146.38,142.34,143.18
2021-12-17,141.25,142.57,140.06,140.48
2021-12-20,138.77,140.53,138.1,140.36
2021-12-21,140.8,142.6,139.27,142.21
2021-12-22,141.81,145.21,141.81,145.13
2021-12-23,145.21,146.94,145.16,145.63
2021-12-27,145.96,147.04,145.88,146.61
2021-12-28,146.93,147.0,144.77,145.4
2021-12-29,145.36,146.12,144.37,145.37
2021-12-30,145.4,146.01,144.71,144.92
2021-12-31,144.77,145.41,143.58,143.58
2022-01-03,143.78,144.57,142.45,143.72
2022-01-04,144.12,145.2,142.45,143.13
2022-01-05,143.15,143.23,136.48,136.56
2022-01-06,135.79,138.71,135.36,136.54
2022-01-07,136.93,137.23,134.57,135.81
2022-01-10,133.89,137.6,131.99,137.45
2022-01-11,136.79,138.98,135.49,138.51
2022-01-12,139.91,141.35,139.46,140.19
2022-01-13,140.3,141.59,137.19,137.37
2022-01-14,135.87,139.5,135.79,138.25
2022-01-18,134.98,135.93,134.25,134.8
2022-01-19,135.32,136.75,133.83,133.93
2022-01-20,135.05,136.42,131.8,132.14
2022-01-21,131.43,133.68,128.94,129.21
2022-01-24,124.87,130.05,123.41,129.65
2022-01-25,127.61,128.26,125.39,125.82
2022-01-26,129.97,131.83,126.02,128.1
2022-01-27,130.15,131.49,127.8,127.87
2022-01-28,128.52,132.18,127.36,132.18
2022-01-31,132.98,134.28,131.05,134.11
2022-02-01,136.39,136.58,133.19,136.43
2022-02-02,149.92,150.21,144.24,146.7
2022-02-03,144.42,148.36,141.41,141.83
2022-02-04,142.18,143.6,139.28,142.03
2022-02-07,142.98,142.98,137.68,137.98
2022-02-08,137.8,138.77,135.81,138.17
2022-02-09,139.72,141.27,138.95,140.35
2022-02-10,138.48,140.24,136.74,137.4
2022-02-11,137.38,137.93,132.23,133.1
2022-02-14,132.09,135.1,132.09,134.33
2022-02-15,136.36,136.89,134.63,135.41
2022-02-16,135.45,136.87,133.74,136.53
2022-02-17,135.05,135.91,131.31,131.37
2022-02-18,132.29,132.89,129.05,129.26
2022-02-22,128.7,131.02,127.1,128.67
2022-02-23,130.49,130.89,126.41,126.47
2022-02-24,123.86,131.83,123.86,131.52
2022-02-25,132.38,134.08,130.59,133.28
2022-02-28,131.88,134.56,131.43,133.87
2022-03-01,133.69,135.06,132.05,132.88
2022-03-02,133.44,134.07,131.9,133.39
2022-03-03,134.81,135.24,131.86,132.72
2022-03-04,131.76,132.68,129.19,130.75
2022-03-07,130.33,130.58,125.18,125.27
2022-03-08,125.14,130.1,124.57,125.99
2022-03-09,130.1,132.56,128.76,132.25
2022-03-10,130.11,132.1,129.76,131.27
2022-03-11,132.32,132.62,128.49,128.73
2022-03-14,129.11,129.26,124.17,124.84
2022-03-15,125.86,128.71,124.62,128.06
2022-03-16,129.58,132.16,127.6,132.11
2022-03-17,131.98,132.9,131.02,132.66
2022-03-18,132.25,135.05,131.1,134.93
2022-03-21,134.97,135.85,132.91,134.91
2022-03-22,134.91,139.81,134.91,138.64
2022-03-23,137.48,138.36,136.62,137.06
2022-03-24,137.98,140.37,136.54,140.33
2022-03-25,140.67,140.79,138.51,140.43
2022-03-28,139.66,140.75,138.58,140.21
2022-03-29,141.39,142.53,140.79,141.25
2022-03-30,141.21,141.47,140.36,140.69
2022-03-31,140.8,140.86,137.8,137.85
2022-04-01,138.27,139.24,137.09,138.92
2022-04-04,139.12,142.45,139.08,141.71
2022-04-05,141.61,141.73,139.15,139.36
2022-04-06,137.53,138.14,134.33,135.35
2022-04-07,134.81,135.96,133.05,134.69
2022-04-08,134.39,134.48,131.8,132.12
2022-04-11,130.66,130.93,127.54,127.69
2022-04-12,130.44,130.44,125.67,126.59
2022-04-13,126.87,129.19,126.62,128.75
2022-04-14,129.33,129.33,125.49,125.62
2022-04-18,125.88,127.09,125.07,126.55
2022-04-19,126.57,129.19,125.88,128.87
2022-04-20,129.74,130.24,126.38,126.91
2022-04-21,128.11,128.96,123.43,123.72
2022-04-22,123.9,124.3,117.88,118.58
2022-04-25,118.05,122.19,117.47,121.99
2022-04-26,121.22,121.43,117.47,117.61
2022-04-27,113.46,116.21,111.75,113.29
2022-04-28,115.39,118.6,113.11,117.48
2022-04-29,115.71,116.88,112.81,113.11
2022-05-02,112.41,115.72,111.61,115.56
2022-05-03,115.41,117.4,115.01,116.3
2022-05-04,116.0,121.77,114.1,121.19
2022-05-05,119.15,119.98,113.99,115.48
2022-05-06,114.17,116.54,113.01,114.73
2022-05-09,112.25,114.07,111.02,111.52
2022-05-10,114.49,115.23,111.91,113.39
