Date,Open,High,Low,Close
2021-08-26,144.82,145.57,144.0,144.03
2021-08-27,143.97,145.21,143.34,145.07
2021-08-30,145.46,149.84,145.07,149.48
2021-08-31,149.03,149.17,147.69,148.22
2021-09-01,149.19,151.29,148.72,148.88
2021-09-02,150.21,151.04,148.77,149.99
2021-09-03,150.1,150.95,149.45,150.63
2021-09-07,151.28,153.52,150.72,152.96
2021-09-08,153.25,153.3,150.32,151.42
2021-09-09,151.79,152.4,150.29,150.41
2021-09-10,151.31,151.78,145.16,145.43
2021-09-13,147.05,147.82,145.21,145.99
2021-09-14,146.77,147.48,143.42,144.6
2021-09-15,145.03,145.89,142.89,145.48
2021-09-16,144.91,145.43,143.72,145.25
2021-09-17,145.28,145.28,142.29,142.59
2021-09-20,140.38,141.39,137.91,139.54
2021-09-21,140.51,141.16,139.38,140.02
2021-09-22,141.01,142.95,140.28,142.38
2021-09-23,143.16,143.58,142.18,143.34
2021-09-24,142.2,143.96,142.1,143.43
2021-09-27,142.01,142.49,140.4,141.91
2021-09-28,139.84,141.31,138.32,138.53
2021-09-29,139.08,141.01,138.65,139.43
2021-09-30,140.24,140.95,137.92,138.13
2021-10-01,138.52,139.52,135.8,139.26
2021-10-04,138.39,138.83,134.98,135.83
2021-10-05,136.17,138.86,136.04,137.75
2021-10-06,136.15,138.77,135.08,138.62
2021-10-07,139.66,140.79,139.33,139.88
2021-10-08,140.6,140.75,139.17,139.5
2021-10-11,138.89,141.37,138.44,139.41
2021-10-12,139.82,139.84,137.69,138.14
2021-10-13,137.88,138.04,135.89,137.56
2021-10-14,138.73,140.46,138.14,140.34
2021-10-15,140.35,141.45,140.1,141.39
2021-10-18,140.04,143.35,139.75,143.06
2021-10-19,143.51,145.62,143.06,145.22
2021-10-20,145.16,146.19,144.6,145.71
2021-10-21,145.27,146.08,144.35,145.92
2021-10-22,146.13,146.61,145.1,145.15
2021-10-25,145.14,145.82,144.11,145.1
2021-10-26,145.78,147.25,145.47,145.77
2021-10-27,145.81,146.17,144.96,145.31
2021-10-28,146.26,149.53,146.16,148.94
2021-10-29,143.72,146.37,142.93,146.24
2021-11-01,145.45,146.14,144.28,145.42
2021-11-02,145.12,147.96,145.11,146.45
2021-11-03,146.81,148.35,146.26,147.89
2021-11-04,147.97,148.8,147.06,147.37
2021-11-05,148.49,148.8,146.7,147.9
2021-11-08,148.02,148.18,146.8,147.08
2021-11-09,146.84,148.04,146.7,147.44
2021-11-10,146.67,146.77,144.54,144.61
2021-11-11,145.63,146.09,144.38,144.56
2021-11-12,145.11,147.04,144.18,146.64
2021-11-15,147.01,148.48,146.09,146.65
2021-11-16,146.59,148.1,146.0,147.62
