Date,Open,High,Low,Close
2021-10-07,283.83,285.23,282.61,283.51
2021-10-08,284.83,285.23,282.46,283.51
2021-10-11,281.65,286.51,281.49,282.91
2021-10-12,283.98,284.08,281.1,281.61
2021-10-13,283.57,285.84,282.2,284.91
2021-10-14,287.7,291.6,286.37,291.1
2021-10-15,290.71,292.74,288.96,292.51
2021-10-18,291.89,296.35,291.05,295.47
2021-10-19,296.49,297.4,295.4,296.37
2021-10-20,297.32,297.79,294.34,295.59
2021-10-21,295.35,299.06,294.58,298.81
2021-10-22,298.46,299.12,295.96,297.27
2021-10-25,297.46,297.5,294.67,296.28
2021-10-26,299.04,300.38,296.73,298.18
2021-10-27,303.84,313.56,303.84,310.74
2021-10-28,311.85,312.37,309.0,311.87
2021-10-29,311.66,319.23,311.44,318.86
2021-11-01,318.61,318.74,313.82,316.7
2021-11-02,317.6,320.62,317.31,320.32
2021-11-03,321.06,322.02,317.93,321.15
2021-11-04,320.09,323.59,316.84,323.5
2021-11-05,325.49,325.76,321.56,323.13
2021-11-08,324.33,324.66,321.58,324.03
2021-11-09,324.14,325.69,321.66,323.03
2021-11-10,321.7,321.76,317.23,318.08
2021-11-11,318.51,320.93,317.8,319.64
2021-11-12,321.08,324.26,320.95,323.77
2021-11-15,324.56,324.88,321.18,323.14
2021-11-16,322.77,327.57,322.6,326.45
2021-11-17,326.5,329.63,325.59,326.67
2021-11-18,325.77,329.88,324.75,328.74
2021-11-19,330.06,332.43,329.64,330.52
2021-11-22,331.97,336.83,327.09,327.36
2021-11-23,324.68,326.99,321.32,325.28
2021-11-24,323.94,325.75,321.65,325.51
2021-11-26,322.08,325.53,316.08,317.58
2021-11-29,322.65,326.59,322.45,324.27
2021-11-30,323.01,325.38,316.91,318.46
2021-12-01,322.83,326.83,317.3,317.96
2021-12-02,318.18,321.25,315.77,317.4
2021-12-03,319.8,320.49,306.36,311.15
2021-12-06,312.06,315.43,307.51,314.22
2021-12-07,319.47,323.47,317.98,322.63
2021-12-08,323.0,323.18,318.66,322.67
2021-12-09,322.13,324.14,319.93,320.87
2021-12-10,322.68,330.41,322.5,329.97
2021-12-13,328.17,331.17,326.63,326.94
2021-12-14,320.99,322.36,312.21,316.29
2021-12-15,316.55,322.89,312.59,322.37
2021-12-16,323.39,324.4,311.16,312.97
2021-12-17,309.1,312.99,305.6,311.91
2021-12-20,308.3,310.95,305.91,308.17
2021-12-21,311.42,315.7,308.06,315.28
2021-12-22,316.25,321.36,313.79,320.97
2021-12-23,320.54,324.04,320.52,322.4
2021-12-27,323.15,329.91,323.12,329.88
2021-12-28,330.55,331.19,327.83,328.72
2021-12-29,328.77,331.66,327.21,329.4
2021-12-30,329.36,330.53,326.38,326.86
2021-12-31,326.08,326.9,323.52,323.97
2022-01-03,323.04,325.59,317.67,322.46
2022-01-04,322.54,322.9,314.15,316.93
2022-01-05,313.9,314.1,304.38,304.77
2022-01-06,301.66,307.0,300.06,302.36
2022-01-07,302.62,304.88,298.71,302.51
2022-01-10,298.13,303.17,293.51,302.73
